Geoname ID;Name;ASCII Name;Country Code;Coordinates
3093156;£obodno;Lobodno;PL;50.93079, 18.9909
3093268;Lipno;Lipno;PL;52.84436, 19.17852
3093315;Lipinki £u¿yckie;Lipinki Luzyckie;PL;51.63954, 14.99874
3093433;Ligota;Ligota;PL;49.89856, 18.9509
3094597;Krupski M³yn;Krupski Mlyn;PL;50.57337, 18.62251
3094794;Kramsk;Kramsk;PL;52.26469, 18.42407
3095049;Koszalin;Koszalin;PL;54.19438, 16.17222
3097107;Jordanów;Jordanow;PL;49.64935, 19.82981
3097391;Jastrzêbie Zdrój;Jastrzebie Zdroj;PL;49.95542, 18.57479
3098453;Grabowo Koœcierskie;Grabowo Koscierskie;PL;54.16816, 18.14692
3098575;Gozdowo;Gozdowo;PL;52.72455, 19.68501
3098727;Górzno;Gorzno;PL;53.19779, 19.64317
3099134;Gniazdów;Gniazdow;PL;50.59621, 19.11132
3099192;G³ówczyce;Glowczyce;PL;54.61935, 17.3723
3099434;Gdañsk;Gdansk;PL;54.35227, 18.64912
3100124;Drobin;Drobin;PL;52.73775, 19.98928
3100139;Drawsko Pomorskie;Drawsko Pomorskie;PL;53.53056, 15.80967
3100417;D³utów;Dlutow;PL;51.55936, 19.39198
3101201;Czapury;Czapury;PL;52.31719, 16.91268
3101695;Chocz;Chocz;PL;51.97642, 17.86995
3102252;Buczkowice;Buczkowice;PL;49.72858, 19.06908
3102374;BrzeŸnica;Brzeznica;PL;49.96497, 19.61952
3102956;Boniewo;Boniewo;PL;52.46532, 18.89116
3103364;Bierutów;Bierutow;PL;51.12443, 17.54607
3103432;Bielice;Bielice;PL;53.20022, 14.7276
3103556;Bia³ogard;Bialogard;PL;54.00696, 15.98751
12047639;Stab³owice;Stablowice;PL;51.15375, 16.9002
752968;¯yraków;Zyrakow;PL;50.08545, 21.39622
753004;Zwoleñ;Zwolen;PL;51.35542, 21.58768
753885;Zamch;Zamch;PL;50.31713, 23.02786
755369;Wojs³awice;Wojslawice;PL;50.91916, 23.54602
756092;Wawer;Wawer;PL;52.19656, 21.17752
756532;Turze Pole;Turze Pole;PL;49.66329, 22.00476
757386;Szczuczyn;Szczuczyn;PL;53.5633, 22.28534
757886;Suchedniów;Suchedniow;PL;51.04776, 20.82922
758162;Stoczek;Stoczek;PL;52.54332, 21.90013
758252;Staszów;Staszow;PL;50.56307, 21.16593
758682;Sochaczew;Sochaczew;PL;52.22944, 20.23838
760054;Rudnik;Rudnik;PL;50.88035, 22.97293
760527;Regnów;Regnow;PL;51.7485, 20.38711
762556;Pawlikowice;Pawlikowice;PL;49.9531, 20.05486
763011;Osiek;Osiek;PL;50.51996, 21.44192
763094;Orla;Orla;PL;52.70546, 23.33213
764033;Nieborów;Nieborow;PL;52.07771, 20.06902
764421;Moñki;Monki;PL;53.40496, 22.79791
765749;£uków;Lukow;PL;51.929, 22.37956
765983;£opuszna;Lopuszna;PL;49.47281, 20.13021
768115;Kortowo;Kortowo;PL;53.75731, 20.4562
770045;Je¿owe;Jezowe;PL;50.37486, 22.12749
770772;Iwaniska;Iwaniska;PL;50.73146, 21.2806
771481;Grêbków;Grebkow;PL;52.26931, 21.90974
771679;Gózd;Gozd;PL;51.37832, 21.37914
772021;Gnojno;Gnojno;PL;50.60263, 20.84913
773386;Dêbe Wielkie;Debe Wielkie;PL;52.19961, 21.44334
773735;Czerwonka;Czerwonka;PL;53.91627, 20.89685
773808;Czemierniki;Czemierniki;PL;51.67298, 22.63887
773966;Czarna;Czarna;PL;50.06717, 21.25614
774069;Æmielów;Cmielow;PL;50.89028, 21.51426
774387;Chorzele;Chorzele;PL;53.26075, 20.89728
775155;Brzeziny;Brzeziny;PL;50.77273, 20.57319
775358;Brañszczyk;Branszczyk;PL;52.62931, 21.58745
775424;Borzechów;Borzechow;PL;51.09258, 22.28414
775866;B³a¿owa;Blazowa;PL;49.88521, 22.10037
775908;Bircza;Bircza;PL;49.69173, 22.47854
3080058;¯migród;Zmigrod;PL;51.46672, 16.90564
3080984;Zabrzeg;Zabrzeg;PL;49.91619, 18.94292
3081300;Wschowa;Wschowa;PL;51.80705, 16.31663
3081560;Wola Krzysztoporska;Wola Krzysztoporska;PL;51.34418, 19.5809
3081604;Wola;Wola;PL;50.01745, 19.12333
3081711;W³osienica;Wlosienica;PL;50.01822, 19.31671
3081748;Wleñ;Wlen;PL;51.01635, 15.67474
3081946;Wilków;Wilkow;PL;51.10158, 17.66284
3082587;Warta;Warta;PL;51.71049, 18.62483
3082855;Ujazd;Ujazd;PL;50.38938, 18.34929
3083835;Szczawno-Zdrój;Szczawno-Zdroj;PL;50.80352, 16.25655
3084061;Œwiedziebnia;Swiedziebnia;PL;53.15207, 19.55463
3084107;Œwi¹tniki Górne;Swiatniki Gorne;PL;49.93429, 19.95364
3084230;Sulejów;Sulejow;PL;51.35436, 19.88538
3084408;Strzeleczki;Strzeleczki;PL;50.46215, 17.85665
3085047;Œroda Œl¹ska;Sroda Slaska;PL;51.16406, 16.59508
3085450;S³upsk;Slupsk;PL;54.46405, 17.02872
3085974;Sieraków;Sierakow;PL;52.65134, 16.08047
3086586;Rybnik;Rybnik;PL;50.09713, 18.54179
3086706;Rumia;Rumia;PL;54.57092, 18.38802
3088034;Pruszcz Gdañski;Pruszcz Gdanski;PL;54.26217, 18.63625
3088493;Polanka Wielka;Polanka Wielka;PL;49.98501, 19.32615
3088759;Pniewy;Pniewy;PL;52.50943, 16.25668
3089658;Oœwiêcim;Oswiecim;PL;50.03437, 19.21037
3089855;Osjaków;Osjakow;PL;51.28946, 18.79151
3090068;Opatów;Opatow;PL;50.95567, 18.81941
3090315;Odolanów;Odolanow;PL;51.57419, 17.67434
3090990;Niegowonice;Niegowonice;PL;50.38909, 19.42263
3091901;Mieroszów;Mieroszow;PL;50.66589, 16.18883
3092618;£ysomice;Lysomice;PL;53.08629, 18.62002
3093932;£aniêta;Lanieta;PL;52.36203, 19.28032
3094035;£¹czany;Laczany;PL;49.98407, 19.57867
3094283;Kuków;Kukow;PL;49.73252, 19.48485
3095151;Koœcian;Koscian;PL;52.08829, 16.64866
3095321;Konin;Konin;PL;52.22338, 18.25121
3095874;Kocza³a;Koczala;PL;53.90449, 17.06529
3096123;Kleszczów;Kleszczow;PL;51.22355, 19.30418
3097257;Jelenia Góra;Jelenia Gora;PL;50.89973, 15.72899
3098015;Henryków;Henrykow;PL;50.65327, 17.01027
3098267;Gromadka;Gromadka;PL;51.36063, 15.76452
3098502;Grabów;Grabow;PL;52.12717, 19.00257
3099934;Dziadowa K³oda;Dziadowa Kloda;PL;51.23543, 17.70919
3100280;Dobrzyca;Dobrzyca;PL;51.86663, 17.60336
3100283;Dobrzeñ Wielki;Dobrzen Wielki;PL;50.76844, 17.84652
3100400;Dobiegniew;Dobiegniew;PL;52.96947, 15.75362
3100778;D¹browa Zielona;Dabrowa Zielona;PL;50.84394, 19.55652
3101089;Czastary;Czastary;PL;51.25869, 18.31953
3101136;Czarnocin;Czarnocin;PL;51.59142, 19.68158
3102316;Brzozie;Brzozie;PL;53.32554, 19.60485
3102975;Boleszkowice;Boleszkowice;PL;52.72493, 14.56901
3103142;Bobrowo;Bobrowo;PL;53.28549, 19.27053
3103236;Blizanów;Blizanow;PL;51.90372, 18.01003
3103696;Be³k;Belk;PL;50.13048, 18.71667
3103877;Baranów;Baranow;PL;51.26342, 18.0047
6545348;Praga Po³udnie;Praga Poludnie;PL;52.24424, 21.08545
7534722;Zalesie;Zalesie;PL;50.01226, 22.53262
12047661;Rejon ulicy Borowskiej-Po³udnie;Rejon ulicy Borowskiej-Poludnie;PL;51.0766, 17.02582
753762;Zarzecze;Zarzecze;PL;49.98633, 22.53716
754351;Z¹bki;Zabki;PL;52.29271, 21.10539
755438;Wohyñ;Wohyn;PL;51.75642, 22.78582
756028;Werbkowice;Werbkowice;PL;50.75373, 23.76411
757452;Szczebrzeszyn;Szczebrzeszyn;PL;50.69499, 22.97954
757735;Susiec;Susiec;PL;50.41973, 23.19626
758282;Stary S¹cz;Stary Sacz;PL;49.56364, 20.63496
758390;Starachowice;Starachowice;PL;51.0374, 21.07126
758952;S³awno;Slawno;PL;51.39273, 20.14043
759194;Osiedle-Nowiny;Osiedle-Nowiny;PL;50.8177, 20.54117
761812;Pod³ê¿e;Podleze;PL;50.01458, 20.16781
762199;Pionki;Pionki;PL;51.47604, 21.44995
762873;Ostrówek;Ostrowek;PL;52.5535, 21.76014
763650;Nowe Sio³o;Nowe Siolo;PL;50.23194, 23.15884
764926;Michów;Michow;PL;51.52573, 22.31435
765914;Lubenia;Lubenia;PL;49.93078, 21.92665
766867;£¹czna;Laczna;PL;51.00231, 20.79712
769061;Klimontów;Klimontow;PL;50.22843, 20.3199
764036;Niebieszczany;Niebieszczany;PL;49.50348, 22.15651
764039;Nidzica;Nidzica;PL;53.36052, 20.42749
765279;Manasterz;Manasterz;PL;49.9352, 22.34602
767858;Kowiesy;Kowiesy;PL;51.88942, 20.41929
771723;Goœcieradów;Goscieradow;PL;50.86859, 22.00536
773033;Domaszowice;Domaszowice;PL;50.87488, 20.68288
773832;Czchów;Czchow;PL;49.83726, 20.68056
776001;Bieliny;Bieliny;PL;50.44237, 22.30482
776178;Bia³a Piska;Biala Piska;PL;53.61191, 22.06321
3080538;Zawadzkie;Zawadzkie;PL;50.60503, 18.48467
3080652;¯arów;Zarow;PL;50.94116, 16.49466
3080951;Zadzim;Zadzim;PL;51.77666, 18.84928
3081677;Wodzis³aw Œl¹ski;Wodzislaw Slaski;PL;50.00377, 18.47205
3081752;W³adys³awowo;Wladyslawowo;PL;54.79086, 18.4009
3082581;Wartkowice;Wartkowice;PL;51.97626, 19.0018
3082607;Warnice;Warnice;PL;53.25376, 14.99402
3082998;Turek;Turek;PL;52.01548, 18.50055
3083087;Trzebunia;Trzebunia;PL;49.79146, 19.84715
3083762;Szczutowo;Szczutowo;PL;52.94047, 19.57438
3083964;Œwinice Warckie;Swinice Warckie;PL;52.04072, 18.91786
3085070;Spytkowice;Spytkowice;PL;49.57744, 19.83341
3085138;Soœnie;Sosnie;PL;51.47315, 17.63383
3085252;Sobótka;Sobotka;PL;50.89992, 16.74441
3085481;S³upca;Slupca;PL;52.28733, 17.87192
3085610;S³awno;Slawno;PL;54.36276, 16.67888
3086045;Siekierczyn;Siekierczyn;PL;51.12217, 15.19375
3086720;Rudziniec;Rudziniec;PL;50.35324, 18.40914
3086903;Rozdra¿ew;Rozdrazew;PL;51.78218, 17.50491
3087046;Rokiciny;Rokiciny;PL;51.65078, 19.80191
3087499;Radomin;Radomin;PL;53.0867, 19.19415
3087800;Przyrów;Przyrow;PL;50.80051, 19.52794
3087895;Przyborów;Przyborow;PL;51.79991, 15.7689
3088013;Przecieszyn;Przecieszyn;PL;49.97838, 19.17046
3088526;Pokój;Pokoj;PL;50.90265, 17.83751
3089048;Pietrzykowice;Pietrzykowice;PL;49.69634, 19.1599
3089065;Pieszyce;Pieszyce;PL;50.71287, 16.58232
3089392;Pas³êk;Paslek;PL;54.0616, 19.65932
3089767;Ostroróg;Ostrorog;PL;52.6265, 16.44988
3089881;Osielsko;Osielsko;PL;53.18505, 18.08418
3089987;Ornontowice;Ornontowice;PL;50.19377, 18.75435
3090158;Olesno;Olesno;PL;50.87698, 18.42094
3090357;Ochla;Ochla;PL;51.87903, 15.47132
3091089;Nekla;Nekla;PL;52.36496, 17.41329
3091315;Mszana;Mszana;PL;49.96939, 18.52793
3091547;Modlniczka;Modlniczka;PL;50.11739, 19.8553
3091700;Miros³awiec;Miroslawiec;PL;53.34071, 16.08793
3091979;Miêdzylesie;Miedzylesie;PL;50.14778, 16.66712
3092105;Mêtków;Metkow;PL;50.05251, 19.37525
3092676;Luszowice;Luszowice;PL;50.17415, 19.40426
3092820;£ubowo;Lubowo;PL;53.58634, 16.39177
3092822;£ubowo;Lubowo;PL;52.51168, 17.45333
3093027;Lubawka;Lubawka;PL;50.70456, 16.00026
3093158;£obez;Lobez;PL;53.63918, 15.62129
3094408;Krzy¿ Wielkopolski;Krzyz Wielkopolski;PL;52.88097, 16.01116
3094549;Krzanowice;Krzanowice;PL;50.01822, 18.12251
3095194;Kórnik;Kornik;PL;52.24772, 17.08949
3095311;Konopiska;Konopiska;PL;50.72695, 19.00781
3095931;Kobylin;Kobylin;PL;51.71645, 17.22682
3096090;K³obuck;Klobuck;PL;50.90081, 18.93674
3097104;Jordanów Œl¹ski;Jordanow Slaski;PL;50.86421, 16.86873
3097130;Je¿ów Sudecki;Jezow Sudecki;PL;50.93507, 15.74306
3097480;Jasieñ;Jasien;PL;51.75142, 15.01419
3097610;Janowice;Janowice;PL;49.88496, 19.09376
3099112;Gniezno;Gniezno;PL;52.53481, 17.58259
3099351;Gilowice;Gilowice;PL;49.99505, 19.09613
3099424;Gdynia;Gdynia;PL;54.51889, 18.53188
3100148;Drawno;Drawno;PL;53.21986, 15.75946
3100231;Dolsk;Dolsk;PL;51.9818, 17.06273
3100685;Dalików;Dalikow;PL;51.88476, 19.11904
3100891;Czy¿owice;Czyzowice;PL;49.9849, 18.40433
3100984;Czersk;Czersk;PL;53.79589, 17.97647
3101009;Czernichów;Czernichow;PL;49.9892, 19.68115
3102555;Bronów;Bronow;PL;49.87782, 18.92103
3103329;Bie¿uñ;Biezun;PL;52.96107, 19.88976
3103462;Bielawy;Bielawy;PL;52.07539, 19.65557
3103476;Bielawa;Bielawa;PL;50.69075, 16.623
3103545;Bia³oœliwie;Bialosliwie;PL;53.10461, 17.12533
3103719;Bêdzin;Bedzin;PL;50.32607, 19.12565
7534286;Ostrówek;Ostrowek;PL;52.38938, 21.36738
7535494;Tomaszkowice;Tomaszkowice;PL;49.97918, 20.09966
7535570;Wiœniewo;Wisniewo;PL;53.06474, 20.34805
12047617;Osiedle Kosmonautów;Osiedle Kosmonautow;PL;51.12753, 16.96186
754066;Zakrzew;Zakrzew;PL;50.89004, 22.59115
755143;Wola Sernicka;Wola Sernicka;PL;51.44978, 22.68351
755873;Wielkie Oczy;Wielkie Oczy;PL;50.02357, 23.16407
756246;Wadowice Górne;Wadowice Gorne;PL;50.26312, 21.30215
756438;Tyszowce;Tyszowce;PL;50.61699, 23.69927
756456;Tyrawa Wo³oska;Tyrawa Woloska;PL;49.57744, 22.36988
756577;Turobin;Turobin;PL;50.82367, 22.74273
756980;Telatyn;Telatyn;PL;50.52712, 23.83956
757214;Szumowo;Szumowo;PL;52.91884, 22.08449
758110;Strachocina;Strachocina;PL;49.60815, 22.08836
758393;St¹porków;Staporkow;PL;51.13762, 20.57173
760166;Ruciane-Nida;Ruciane-Nida;PL;53.64161, 21.53964
761193;Przedmieœcie Dubieckie;Przedmiescie Dubieckie;PL;49.8371, 22.37177
762032;P³oniawy-Bramura;Ploniawy-Bramura;PL;52.9778, 21.07178
762366;Pi¹tnica;Piatnica;PL;53.19657, 22.09591
763165;Olsztynek;Olsztynek;PL;53.58374, 20.28471
763661;Nowe Miasto;Nowe Miasto;PL;52.65691, 20.62838
764849;Mielec;Mielec;PL;50.28709, 21.4239
764956;Micha³ów-Reginów;Michalow-Reginow;PL;52.41711, 20.96595
765313;Ma³ogoszcz;Malogoszcz;PL;50.81214, 20.26407
770833;Hy¿ne;Hyzne;PL;49.91769, 22.18131
771477;Grêbów;Grebow;PL;50.56536, 21.87404
771790;Górno;Gorno;PL;50.28243, 22.145
761714;Pogórska Wola;Pogorska Wola;PL;50.01855, 21.15795
763006;Osiek Jasielski;Osiek Jasielski;PL;49.63784, 21.4884
763659;Nowe Miasto nad Pilic¹;Nowe Miasto nad Pilica;PL;51.61812, 20.57619
765736;£ukowica;Lukowica;PL;49.6111, 20.48289
766142;Lipsk;Lipsk;PL;53.73312, 23.40225
766507;Lelkowo;Lelkowo;PL;54.32458, 20.2248
768039;Kosina;Kosina;PL;50.07213, 22.32903
768123;Stara Kornica;Stara Kornica;PL;52.18183, 22.93752
769135;K³aj;Klaj;PL;49.99246, 20.29904
769177;Kije;Kije;PL;50.60721, 20.57121
771953;Go³dap;Goldap;PL;54.30631, 22.30362
772218;Gietrzwa³d;Gietrzwald;PL;53.74617, 20.23742
772465;Frysztak;Frysztak;PL;49.84164, 21.60942
772772;Dynów;Dynow;PL;49.81506, 22.23388
774628;Ceranów;Ceranow;PL;52.63082, 22.22826
775097;Brzóza Stadnicka;Brzoza Stadnicka;PL;50.19965, 22.28233
775110;Brzostek;Brzostek;PL;49.87954, 21.41102
775922;Bi³goraj;Bilgoraj;PL;50.54114, 22.72204
776384;Barczewo;Barczewo;PL;53.83055, 20.69112
776531;Baækowice;Backowice;PL;50.79194, 21.23211
3079942;¯uromin;Zuromin;PL;53.06611, 19.90894
3080345;¯elazków;Zelazkow;PL;51.85418, 18.1743
3080533;Zawidów;Zawidow;PL;51.02546, 15.06213
3081940;Wilkowice;Wilkowice;PL;51.88513, 16.53417
3081947;Wilków;Wilkow;PL;51.09212, 15.92824
3082712;W¹growiec;Wagrowiec;PL;52.80842, 17.19961
3082785;Unis³aw;Unislaw;PL;53.21241, 18.38622
3083134;Trzebiel;Trzebiel;PL;51.63496, 14.81609
3083492;Targanice;Targanice;PL;49.80575, 19.32444
3083677;Szklarska Porêba;Szklarska Poreba;PL;50.82567, 15.52274
3083749;Szczytna;Szczytna;PL;50.41343, 16.44743
3083800;Szczepanów;Szczepanow;PL;51.19796, 16.61064
3084069;Œwiecie nad Os¹;Swiecie nad Osa;PL;53.444, 19.10171
3084811;Starowa Góra;Starowa Gora;PL;51.69134, 19.48374
3084826;Starogard Gdañski;Starogard Gdanski;PL;53.96396, 18.52638
3086371;Sadlinki;Sadlinki;PL;53.66539, 18.86807
3086391;Rzyki;Rzyki;PL;49.81129, 19.39619
3086566;Rycerka Dolna;Rycerka Dolna;PL;49.47805, 19.06162
3086638;Rusocice;Rusocice;PL;49.99604, 19.60648
3086848;Rozwadza;Rozwadza;PL;50.43493, 18.0998
3087246;Regulice;Regulice;PL;50.08314, 19.52785
3087391;Rajsko;Rajsko;PL;50.01193, 19.19294
3087418;Radzionków;Radzionkow;PL;50.40026, 18.90232
3087705;Pszczyna;Pszczyna;PL;49.98037, 18.95382
3087958;Przelewice;Przelewice;PL;53.10413, 15.07625
3088006;Przec³aw;Przeclaw;PL;53.37447, 14.47251
3088171;Poznañ;Poznan;PL;52.40692, 16.92993
3088281;Poraj;Poraj;PL;50.67797, 19.21509
3089173;Pi¹tek;Piatek;PL;52.0689, 19.4797
3089908;Osiek;Osiek;PL;52.92629, 18.80765
3089917;Osiek;Osiek;PL;51.36717, 16.2338
3089934;Osieczna;Osieczna;PL;51.9042, 16.67862
3090551;Nowogrodziec;Nowogrodziec;PL;51.19543, 15.39854
3091135;Naprawa;Naprawa;PL;49.64657, 19.87916
3091760;Mi³oradz;Miloradz;PL;54.01392, 18.91846
3091838;Miko³ajki Pomorskie;Mikolajki Pomorskie;PL;53.85131, 19.16574
3092044;Micha³owice;Michalowice;PL;50.15898, 19.98044
3092906;Lubliniec;Lubliniec;PL;50.66897, 18.6844
3093150;£ob¿enica;Lobzenica;PL;53.26244, 17.25574
3093692;Legnica;Legnica;PL;51.21006, 16.1619
3094017;L¹dek;Ladek;PL;52.20929, 17.92994
3094105;Kwacza³a;Kwaczala;PL;50.06408, 19.49215
3094690;Krobia;Krobia;PL;51.77405, 16.98237
3095202;Korfantów;Korfantow;PL;50.48894, 17.59898
3096160;Kleczew;Kleczew;PL;52.37057, 18.17714
3097339;Jaworze;Jaworze;PL;49.79351, 18.9479
3097367;Jawor;Jawor;PL;51.05132, 16.19347
3097409;Jastrzêbia Góra;Jastrzebia Gora;PL;54.83135, 18.31301
3097865;Istebna;Istebna;PL;49.56319, 18.90567
3097872;Inowroc³aw;Inowroclaw;PL;52.79886, 18.26387
3098288;Grodzisk Wielkopolski;Grodzisk Wielkopolski;PL;52.22762, 16.36534
3098702;Gorzyce Wielkie;Gorzyce Wielkie;PL;51.63725, 17.72953
3099113;Gnie¿d¿ewo;Gniezdzewo;PL;54.74741, 18.37944
3099388;Giebu³tów;Giebultow;PL;50.14556, 19.87856
3099720;Fabianki;Fabianki;PL;52.71929, 19.10943
3100364;Dobra;Dobra;PL;53.48835, 14.38617
3100624;Daszewice;Daszewice;PL;52.30002, 16.95723
3101019;Czernica;Czernica;PL;50.08391, 18.40068
3101693;Choczewo;Choczewo;PL;54.73993, 17.89175
3101856;Cha³upki;Chalupki;PL;49.92559, 18.3173
3101951;Bytnica;Bytnica;PL;52.15066, 15.16946
3102014;Bydgoszcz;Bydgoszcz;PL;53.1235, 18.00762
3102444;Brzeszcze;Brzeszcze;PL;49.98203, 19.15157
3102686;Bralin;Bralin;PL;51.28581, 17.90325
3102909;Borek Wielkopolski;Borek Wielkopolski;PL;51.91674, 17.24133
3102988;Boles³awiec;Boleslawiec;PL;51.19866, 18.19147
3103884;Banie;Banie;PL;53.10031, 14.66228
7535582;Izabelin;Izabelin;PL;52.29992, 20.81729
7576212;Kocierzew Po³udniowy;Kocierzew Poludniowy;PL;52.21728, 20.01812
753142;¯oliborz;Zoliborz;PL;52.26896, 20.98644
754195;Zagórz;Zagorz;PL;49.51457, 22.26706
755155;Wola Rêbkowska;Wola Rebkowska;PL;51.90181, 21.55818
756084;Wawrzeñczyce;Wawrzenczyce;PL;50.11012, 20.31612
756120;Wasilków;Wasilkow;PL;53.19909, 23.20776
756919;T³uszcz;Tluszcz;PL;52.43058, 21.43561
757178;Szyd³owiec;Szydlowiec;PL;51.22823, 20.86106
757531;Sypniewo;Sypniewo;PL;53.0058, 21.3073
757610;Œwiêtajno;Swietajno;PL;53.56692, 21.21546
758090;Strawczyn;Strawczyn;PL;50.94177, 20.42135
758548;Sosnowica;Sosnowica;PL;51.52065, 23.09215
759922;Rybczewice;Rybczewice;PL;51.02876, 22.85053
760503;Rembertów;Rembertow;PL;52.26059, 21.16355
761187;Przêdzel;Przedzel;PL;50.49465, 22.21925
762782;Owczarnia;Owczarnia;PL;52.11114, 20.70468
763111;Opoczno;Opoczno;PL;51.37569, 20.27827
763464;Obrazów;Obrazow;PL;50.69276, 21.65045
763586;Nowosielce;Nowosielce;PL;50.05747, 22.41056
763676;Nowe Brzesko;Nowe Brzesko;PL;50.13222, 20.37663
763901;Nieporêt;Nieporet;PL;52.43152, 21.03212
764602;M³ynarze;Mlynarze;PL;52.95417, 21.41141
764999;Mi¹czyn;Miaczyn;PL;50.73825, 23.5013
765430;Maków Mazowiecki;Makow Mazowiecki;PL;52.86493, 21.10053
765683;Lutory¿;Lutoryz;PL;49.96712, 21.9124
765854;Lubomino;Lubomino;PL;54.06684, 20.23956
765957;£ososina Dolna;Lososina Dolna;PL;49.74977, 20.63129
766523;£êki Dolne;Leki Dolne;PL;49.97386, 21.24739
767983;Kostom³oty Drugie;Kostomloty Drugie;PL;50.92684, 20.56529
768210;Konstantynów;Konstantynow;PL;52.20746, 23.0853
768807;Ko³biel;Kolbiel;PL;52.06431, 21.48153
769345;Kazimierz Dolny;Kazimierz Dolny;PL;51.31911, 21.95502
769697;Kamienica;Kamienica;PL;49.57533, 20.34505
770149;Jedwabne;Jedwabne;PL;53.28554, 22.30353
770286;Jastrz¹b;Jastrzab;PL;51.24725, 20.94758
771141;Handzlówka;Handzlowka;PL;49.99527, 22.22311
771392;Grodzisko Górne;Grodzisko Gorne;PL;50.1869, 22.43786
772023;Gnojnik;Gnojnik;PL;49.89397, 20.60863
772658;Dzików Stary;Dzikow Stary;PL;50.24699, 22.92984
773340;Dêbno;Debno;PL;50.19811, 22.51837
773593;D¹browa Bia³ostocka;Dabrowa Bialostocka;PL;53.65364, 23.34792
773941;Czarna Bia³ostocka;Czarna Bialostocka;PL;53.30509, 23.28146
774776;Bukowsko;Bukowsko;PL;49.48039, 22.06329
775493;Borowie;Borowie;PL;51.94908, 21.7658
775886;Bisztynek;Bisztynek;PL;54.08633, 20.90192
775986;Bielsk Podlaski;Bielsk Podlaski;PL;52.76512, 23.18647
776214;Besko;Besko;PL;49.58757, 21.95292
3080074;Z³otoryja;Zlotoryja;PL;51.12637, 15.91979
3080295;Zelów;Zelow;PL;51.46452, 19.21972
3080380;Zêbowice;Zebowice;PL;50.7629, 18.34434
3080457;Zbros³awice;Zbroslawice;PL;50.41612, 18.75443
3082319;Wieleñ;Wielen;PL;52.89461, 16.17136
3082745;Ustronie Morskie;Ustronie Morskie;PL;54.21517, 15.75568
3082870;Uciechów;Uciechow;PL;50.75487, 16.68175
3083026;Tuczno;Tuczno;PL;53.19374, 16.15368
3083177;Trzciel;Trzciel;PL;52.36504, 15.87306
3083255;Tr¹bki Wielkie;Trabki Wielkie;PL;54.17062, 18.54003
3083611;Szubin;Szubin;PL;53.00967, 17.74
